Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,P>2.5,P<2.5,PAHH,PAHA
P1,12/01/2024,06:00:00 PM,Arouca,Benfica,0,2,A,0,1,A,12,14,5,8,15,10,5,6,2,3,0,0,9.89,6.02,1.26,1.54,2.49,1.83,2.01
P1,12/01/2024,08:30:00 PM,AVS,Sp Braga,0,1,A,0,0,D,6,20,1,8,12,16,2,9,3,1,2,0,5.54,4.03,1.6,1.88,1.96,1.8,2.07
P1,12/02/2024,06:45:00 PM,Guimaraes,Gil Vicente,4,0,H,1,0,H,19,3,5,0,19,10,9,2,1,2,0,0,1.68,3.74,5.16,2.06,1.78,1.9,1.95
P1,12/02/2024,08:45:00 PM,Porto,Casa Pia,2,0,H,0,0,D,17,10,9,3,14,13,8,6,3,0,0,0,1.18,7.09,13.67,1.52,2.54,1.78,2.06
P1,12/05/2024,08:15:00 PM,Moreirense,Sp Lisbon,2,1,H,2,1,H,8,16,4,2,17,15,4,6,3,1,0,0,8.72,5.14,1.34,1.75,2.11,1.79,2.06
P1,12/06/2024,08:15:00 PM,Sp Braga,Estoril,2,2,D,1,0,H,16,11,7,3,18,21,3,2,3,5,0,0,1.22,6.51,14.97,1.65,2.3,1.92,1.97
P1,12/07/2024,03:30:00 PM,Gil Vicente,Nacional,2,1,H,1,0,H,17,19,4,6,13,17,6,7,3,4,0,0,2.04,3.4,3.75,2.1,1.76,2.06,1.83
P1,12/07/2024,06:00:00 PM,Benfica,Guimaraes,1,0,H,1,0,H,8,10,1,2,9,13,6,9,3,1,0,0,1.31,5.41,9.28,1.65,2.29,1.96,1.91
P1,12/07/2024,06:00:00 PM,Santa Clara,Rio Ave,1,0,H,1,0,H,10,4,4,2,18,17,6,2,2,4,0,0,1.82,3.39,4.79,2.22,1.69,1.83,2.04
P1,12/07/2024,08:30:00 PM,Famalicao,Porto,1,1,D,1,0,H,4,16,2,4,13,19,3,5,2,3,0,0,6.67,4.35,1.48,1.94,1.91,2.03,1.85
P1,12/08/2024,03:30:00 PM,Boavista,Farense,1,1,D,0,0,D,13,11,4,6,7,17,5,4,3,4,1,1,2.46,3.15,3.07,2.32,1.63,2.1,1.78
